n=26: 230230 subsets, initial violations 4029
  ..step 654311424: cur 1205 best 797
  ..step 655360000: cur 886 best 797
  ..step 656408576: cur 874 best 797
  ..step 657457152: cur 870 best 797
  ..step 658505728: cur 889 best 797
  ..step 659554304: cur 896 best 797
  ..step 660602880: cur 887 best 797
  ..step 661651456: cur 1061 best 797
  ..step 662700032: cur 896 best 797
  ..step 663748608: cur 959 best 797
  ..step 664797184: cur 943 best 797
  ..step 665845760: cur 886 best 797
  ..step 666894336: cur 1056 best 797
  ..step 667942912: cur 851 best 797
  ..step 668991488: cur 872 best 797
  ..step 670040064: cur 923 best 797
  ..step 671088640: cur 1228 best 797
  ..step 672137216: cur 910 best 797
  ..step 673185792: cur 1078 best 797
  ..step 674234368: cur 1598 best 797
  ..step 675282944: cur 1206 best 797
  ..step 676331520: cur 1185 best 797
  ..step 677380096: cur 1166 best 797
  ..step 678428672: cur 1023 best 797
  ..step 679477248: cur 885 best 797
  ..step 680525824: cur 884 best 797
  ..step 681574400: cur 890 best 797
  ..step 682622976: cur 892 best 797
  ..step 683671552: cur 1030 best 797
  ..step 684720128: cur 1632 best 797
  ..step 685768704: cur 1252 best 797
  ..step 686817280: cur 864 best 797
  ..step 687865856: cur 1030 best 797
  ..step 688914432: cur 884 best 797
  ..step 689963008: cur 874 best 797
  ..step 691011584: cur 1036 best 797
  ..step 692060160: cur 1023 best 797
  ..step 693108736: cur 902 best 797
  ..step 694157312: cur 893 best 797
  ..step 695205888: cur 1318 best 797
  ..step 696254464: cur 978 best 797
  ..step 697303040: cur 911 best 797
  ..step 698351616: cur 1168 best 797
  ..step 699400192: cur 1023 best 797
  ..step 700448768: cur 928 best 797
  ..step 701497344: cur 1003 best 797
  ..step 702545920: cur 867 best 797
  ..step 703594496: cur 1082 best 797
  ..step 704643072: cur 903 best 797
  ..step 705691648: cur 884 best 797
  ..step 706740224: cur 882 best 797
  ..step 707788800: cur 2527 best 797
  ..step 708837376: cur 1559 best 797
  ..step 709885952: cur 1639 best 797
  ..step 710934528: cur 881 best 797
  ..step 711983104: cur 1164 best 797
  ..step 713031680: cur 888 best 797
  ..step 714080256: cur 1065 best 797
  ..step 715128832: cur 986 best 797
  ..step 716177408: cur 878 best 797
  ..step 717225984: cur 907 best 797
  ..step 718274560: cur 1314 best 797
  ..step 719323136: cur 922 best 797
  ..step 720371712: cur 895 best 797
  ..step 721420288: cur 937 best 797
  ..step 722468864: cur 874 best 797
  ..step 723517440: cur 1324 best 797
  ..step 724566016: cur 1437 best 797
  ..step 725614592: cur 929 best 797
  ..step 726663168: cur 1175 best 797
  ..step 727711744: cur 2304 best 797
  ..step 728760320: cur 897 best 797
  ..step 729808896: cur 901 best 797
  ..step 730857472: cur 907 best 797
  ..step 731906048: cur 1231 best 797
  ..step 732954624: cur 1141 best 797
  ..step 734003200: cur 899 best 797
  ..step 735051776: cur 908 best 797
  ..step 736100352: cur 904 best 797
  ..step 737148928: cur 1470 best 797
  ..step 738197504: cur 878 best 797
  ..step 739246080: cur 884 best 797
  ..step 740294656: cur 1728 best 797
  ..step 741343232: cur 1087 best 797
  ..step 742391808: cur 914 best 797
  ..step 743440384: cur 1276 best 797
  ..step 744488960: cur 930 best 797
  ..step 745537536: cur 1323 best 797
  ..step 746586112: cur 871 best 797
  ..step 747634688: cur 1098 best 797
  ..step 748683264: cur 864 best 797
  ..step 749731840: cur 1324 best 797
  ..step 750780416: cur 1158 best 797
  ..step 751828992: cur 837 best 797
  ..step 752877568: cur 1092 best 797
  ..step 753926144: cur 871 best 797
  ..step 754974720: cur 879 best 797
  ..step 756023296: cur 1487 best 797
  ..step 757071872: cur 931 best 797
  ..step 758120448: cur 925 best 797
  ..step 759169024: cur 1151 best 797
  ..step 760217600: cur 1198 best 797
  ..step 761266176: cur 939 best 797
  ..step 762314752: cur 866 best 797
  ..step 763363328: cur 996 best 797
  ..step 764411904: cur 886 best 797
  ..step 765460480: cur 959 best 797
  ..step 766509056: cur 1456 best 797
  ..step 767557632: cur 899 best 797
  ..step 768606208: cur 1729 best 797
  ..step 769654784: cur 892 best 797
  ..step 770703360: cur 1138 best 797
  ..step 771751936: cur 1400 best 797
  ..step 772800512: cur 879 best 797
  ..step 773849088: cur 890 best 797
  ..step 774897664: cur 1055 best 797
  ..step 775946240: cur 1013 best 797
  ..step 776994816: cur 927 best 797
  ..step 778043392: cur 1129 best 797
  ..step 779091968: cur 916 best 797
  ..step 780140544: cur 1062 best 797
  ..step 781189120: cur 1104 best 797
  ..step 782237696: cur 1597 best 797
  ..step 783286272: cur 897 best 797
  ..step 784334848: cur 1010 best 797
  ..step 785383424: cur 851 best 797
  ..step 786432000: cur 1031 best 797
